"Categoria CID-10";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"A02   Outr infecc p/Salmonella";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"A04   Outr infecc intestinais bacter";-;-;-;1;7;-;1;4;1;2;-;1;-;-;-;3;3;-;4;4;2;-;-;-;1;1;-;35
"A05   Outr intox alimentares bacter NCOP";-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;4
"A06   Amebiase";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"A08   Infecc intestinais virais outr e as NE";-;-;1;-;2;-;-;2;-;-;-;1;-;-;-;1;2;-;1;-;-;-;-;-;-;-;-;10
"A09   Diarreia e gastroenterite orig infecc presum";6;10;36;10;20;4;3;22;6;12;5;5;21;10;3;31;17;5;20;27;6;6;5;5;12;9;2;318
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;3
"A17   Tuberc do sist nervoso";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"A18   Tuberc de outr orgaos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"A19   Tuberc miliar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;2
"A31   Infecc dev outr micobacterias";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A35   Outr tipos de tetano";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A36   Difteria";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A37   Coqueluche";-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;3;-;-;-;-;-;1;1;8
"A39   Infecc meningogocica";-;-;3;1;-;-;-;-;-;1;-;-;4;-;-;2;-;-;2;6;2;2;2;-;-;-;2;27
"A41   Outr septicemias";12;2;16;4;53;8;3;38;15;15;12;12;22;8;4;53;26;2;64;90;14;12;10;10;14;17;8;544
