Categoria_CID;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
A02   Outr infecc p/Salmonella;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
A04   Outr infecc intestinais bacter;-;-;-;2;8;-;-;8;1;3;2;4;-;-;-;11;3;-;4;6;3;-;-;-;2;4;-;61
A05   Outr intox alimentares bacter NCOP;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
A06   Amebiase;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2
A07   Outr doenc intestinais p/protozoarios;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;2
A08   Infecc intestinais virais outr e as NE;-;-;1;-;1;-;-;1;-;-;-;-;1;-;-;-;3;-;-;-;1;-;1;1;-;-;-;10
A09   Diarreia e gastroenterite orig infecc presum;5;7;22;8;30;2;-;14;6;9;1;6;22;15;6;16;3;3;19;16;1;4;1;3;8;5;5;237
A15   Tuberc respirat c/conf bacteriol e histolog;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
A16   Tuberc vias respirat s/conf bacter histol;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
A17   Tuberc do sist nervoso;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
A19   Tuberc miliar;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
A31   Infecc dev outr micobacterias;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
A37   Coqueluche;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
A39   Infecc meningogocica;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;1;4;1;-;1;-;-;-;-;10
A40   Septicemia estreptococica;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
A41   Outr septicemias;10;2;25;3;37;15;3;36;18;13;5;8;10;5;5;51;27;3;35;72;11;7;7;8;12;9;1;438
A48   Outr doenc bacter NCOP;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;7
A49   Infecc bacter de localiz NE;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;8
A50   Sifilis congen;5;3;9;-;10;7;-;2;8;5;6;2;12;3;1;10;15;-;39;22;2;2;16;1;3;8;1;192
A68   Febres recorrentes;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
A81   Infecc p/virus atipicos sist nervoso central;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;2
A86   Encefalite viral NE;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;5
A87   Meningite viral;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;1;7
A90   Dengue;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
A91   Febre hemorragica dev virus do dengue;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;1;1;-;5
A92   Outr febres virais transm p/mosquitos;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;4
A94   Febre viral transm p/artropodes NE;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
A99   Febres hemorragicas virais NE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
B00   Infecc p/virus do herpes;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;6
B05   Sarampo;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
B19   Hepatite viral NE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
B20   Doenc p/HIV result doenc infecc e parasit;-;-;1;-;2;-;-;-;-;1;-;-;-;1;-;1;-;-;1;-;-;-;1;-;-;-;-;8
B24   Doenc p/HIV NE;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
B25   Doenc p/citomegalovirus;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;3;1;-;-;-;-;-;-;6
B33   Outr doenc p/virus NCOP;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
B34   Doenc p/virus de localiz NE;4;4;20;10;13;1;1;11;4;48;2;11;21;13;18;29;18;4;36;36;9;9;7;8;6;6;2;351
B37   Candidiase;-;-;-;-;2;-;-;1;-;-;-;-;-;-;1;3;-;-;-;11;1;1;-;1;1;-;-;22
B45   Criptococose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
B49   Micose NE;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;4
B51   Malaria p/Plasmodium vivax;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
B55   Leishmaniose;-;-;-;1;4;-;2;1;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;11
B58   Toxoplasmose;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
B59   Pneumocistose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
B86   Escabiose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;3
B87   Miiase;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
B99   Doenc infecc outr e as NE;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;1;-;-;-;-;-;-;-;-;8
C10   Neopl malig da orofaringe;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
C15   Neopl malig do esofago;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
C16   Neopl malig do estomago;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
C20   Neopl malig do reto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
C22   Neopl malig figado vias biliares intra-hepat;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;4
C34   Neopl malig dos bronquios e dos pulmoes;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
C38   Neopl malig do coracao mediastino e pleura;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;3
C41   Neopl malig ossos/cartil artic outr loc e NE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;3
C43   Melanoma malig da pele;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
C49   Neopl malig tec conjuntivo e outr tec moles;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;3
C64   Neopl malig do rim exceto pelve renal;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2;-;-;-;-;-;-;-;5
C69   Neopl malig do olho e anexos;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
C71   Neopl malig do encefalo;1;-;1;-;-;-;-;1;1;-;-;-;2;-;-;2;2;1;2;6;1;1;1;-;-;-;-;22
C72   Neop mal med esp nerv cran out sist nerv cen;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;2;1;1;-;1;-;1;-;1;11
C74   Neopl malig da gland supra-renal;-;-;-;-;-;-;-;2;-;1;1;-;1;-;-;-;2;1;1;4;1;-;1;-;-;-;-;15
C76   Neopl malig outr localiz e mal definidas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;2
C78   Neopl malig secund org respirat e digestivos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
C79   Neopl malig secund de outr localiz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
C80   Neopl malig s/especificacao de localiz;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
