Categoria_CID;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
"A02   Outr infecc p/Salmonella";-;-;-;-;-;-;-;1;-;6;-;-;-;1;-;-;1;-;3;-;-;2;2;-;-;-;1;17
"A03   Shiguelose";-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;4
"A04   Outr infecc intestinais bacter";2;1;4;-;43;1;5;18;8;42;18;23;15;4;6;34;49;4;18;97;36;22;33;3;5;13;4;508
"A05   Outr intox alimentares bacter NCOP";-;-;-;-;2;-;2;-;-;5;-;1;-;-;-;3;2;-;1;2;2;-;2;-;-;3;-;25
"A06   Amebiase";-;3;2;1;9;-;2;6;1;10;4;1;5;2;-;5;3;2;2;10;3;3;4;-;1;-;-;79
"A07   Outr doenc intestinais p/protozoarios";-;-;1;-;4;-;-;-;1;3;1;-;-;-;-;1;1;-;-;-;-;1;1;-;-;1;-;15
"A08   Infecc intestinais virais outr e as NE";2;-;3;-;4;-;2;10;3;25;6;2;9;7;-;12;15;-;3;14;4;4;10;1;3;1;-;140
"A09   Diarreia e gastroenterite orig infecc presum";28;22;139;26;138;12;25;143;129;326;102;66;354;146;95;293;344;42;207;686;166;89;162;71;61;74;61;4007
"A15   Tuberc respirat c/conf bacteriol e histolog";-;2;79;1;96;3;8;37;18;41;10;9;67;8;9;83;25;14;103;153;48;9;88;16;22;27;3;979
"A16   Tuberc vias respirat s/conf bacter histol";24;11;68;5;147;9;2;123;38;150;55;45;324;62;34;287;190;50;561;650;59;47;158;45;36;30;10;3220
"A17   Tuberc do sist nervoso";-;-;4;-;5;-;-;1;1;4;1;-;10;2;-;11;3;1;12;26;5;5;8;2;-;2;-;103
"A18   Tuberc de outr orgaos";-;-;6;-;4;-;-;2;1;6;1;1;11;1;-;5;13;3;10;25;4;2;10;3;1;1;2;112
"A19   Tuberc miliar";-;-;4;-;9;-;-;5;-;6;4;5;24;2;1;13;9;1;20;69;9;2;5;1;6;4;1;200
"A21   Tularemia";-;-;-;-;-;-;-;-;-;4;-;1;1;-;-;-;3;-;1;-;-;-;-;-;-;-;-;10
"A22   Carbunculo";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A23   Brucelose";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"A24   Mormo e melioidose";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A26   Erisipeloide";-;1;-;-;4;-;-;1;2;3;1;-;-;-;-;6;-;-;-;6;-;3;-;-;1;1;-;29
"A27   Leptospirose";3;2;7;-;13;3;-;3;1;3;-;1;27;10;6;6;8;3;24;62;10;18;28;-;1;3;2;244
"A28   Outr doenc bacter zoonoticas NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A30   Hanseniase";2;-;3;1;7;-;8;16;4;11;2;4;8;1;2;20;19;3;10;6;9;3;1;7;12;13;2;174
"A31   Infecc dev outr micobacterias";-;-;1;-;8;-;4;6;-;15;2;52;7;16;-;19;13;-;7;52;6;4;8;1;1;-;-;222
"A32   Listeriose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;-;-;-;-;-;-;4
"A35   Outr tipos de tetano";5;-;-;-;14;-;-;9;2;-;2;2;4;1;3;2;8;-;1;3;9;4;8;1;1;1;-;80
"A36   Difteria";-;-;-;-;-;-;-;9;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"A37   Coqueluche";-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2;-;1;8;1;-;3;-;-;-;-;17
"A38   Escarlatina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;-;-;4
"A39   Infecc meningogocica";-;1;3;-;4;-;-;4;2;16;1;1;4;5;2;3;14;5;32;67;12;12;14;1;6;5;4;218
"A40   Septicemia estreptococica";-;1;-;-;7;1;1;10;1;43;6;11;-;7;-;5;13;-;1;25;4;8;7;1;2;1;-;155
"A41   Outr septicemias";107;35;224;11;418;64;24;547;181;701;255;469;671;283;141;1333;2515;158;4045;3620;763;465;1128;96;160;215;63;18692
"A42   Actinomicose";-;-;-;-;3;-;-;2;1;1;1;-;1;-;-;1;3;-;-;2;1;3;-;-;-;-;-;19
"A43   Nocardiose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;1;1;-;1;1;-;1;-;-;8
"A44   Bartonelose";-;-;-;-;1;-;-;-;-;6;-;2;-;-;-;1;5;1;-;2;-;-;-;-;-;-;-;18
"A46   Erisipela";10;5;20;6;90;1;9;57;40;155;67;48;105;60;41;123;126;54;216;417;57;31;35;23;29;41;13;1879
"A48   Outr doenc bacter NCOP";-;1;2;-;41;3;1;27;5;22;1;15;14;4;-;13;179;3;8;87;9;9;10;4;1;3;-;462
"A49   Infecc bacter de localiz NE";-;-;-;-;10;-;-;3;5;9;4;-;5;2;-;30;20;1;11;32;4;6;22;1;1;4;1;171
"A50   Sifilis congen";1;1;3;-;9;3;7;6;9;7;5;1;12;3;3;12;23;2;64;22;7;4;5;2;6;7;3;227
"A51   Sifilis precoce";-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;1;1;3;1;-;1;-;-;-;-;10
"A52   Sifilis tard";-;-;-;-;3;-;-;1;-;1;-;-;1;1;-;3;4;-;8;11;-;3;5;1;-;-;-;42
"A53   Outr form e as NE da sifilis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2;2;2;-;1;1;-;2;-;-;12
"A54   Infecc gonococica";-;-;-;1;2;-;-;1;-;-;-;1;-;-;-;1;1;-;-;1;1;-;1;-;-;-;-;10
"A55   Linfogranuloma p/clamidia";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A56   Outr infecc p/clamidias transm p/via sexual";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;5
"A63   Outr doenc de transm predom sexual NCOP";-;-;-;-;-;-;-;1;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;4
"A64   Doenc sexualmente transm NE";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"A65   Sifilis nao-venerea";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"A66   Bouba";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"A68   Febres recorrentes";-;-;-;-;-;-;-;4;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"A69   Outr infecc p/espiroquetas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;1;-;-;-;5
"A70   Infecc causadas p/Clamidia psittaci";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
