Categoria CID-10;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
A02   Outr infecc p/Salmonella;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3
A03   Shiguelose;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
A04   Outr infecc intestinais bacter;-;-;1;-;9;-;1;3;-;2;2;1;1;2;-;2;4;-;3;9;-;1;3;-;1;2;-;47
A05   Outr intox alimentares bacter NCOP;-;-;-;-;-;-;-;-;-;4;-;1;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;8
A06   Amebiase;-;3;-;1;2;-;1;2;-;-;1;-;-;-;-;1;-;-;1;-;1;1;1;-;-;-;-;15
A07   Outr doenc intestinais p/protozoarios;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
A08   Infecc intestinais virais outr e as NE;1;1;3;-;2;-;1;2;1;2;1;1;1;2;-;-;-;-;-;-;1;-;-;-;3;-;-;22
A09   Diarreia e gastroenterite orig infecc presum;15;20;63;14;36;4;12;36;15;34;13;3;61;23;12;37;25;7;24;46;5;7;13;15;22;14;8;584
A15   Tuberc respirat c/conf bacteriol e histolog;-;-;5;-;1;-;1;1;-;2;-;-;1;-;-;1;-;-;3;1;-;-;-;-;-;-;-;16
A16   Tuberc vias respirat s/conf bacter histol;-;-;2;-;4;-;-;-;-;2;-;1;3;-;2;2;2;-;7;7;1;-;1;2;1;-;-;37
A17   Tuberc do sist nervoso;-;-;1;-;1;-;-;-;-;1;1;-;1;-;-;1;-;-;2;2;-;-;1;-;-;-;-;11
A18   Tuberc de outr orgaos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;3
A19   Tuberc miliar;-;-;-;-;-;-;-;-;-;1;-;1;3;1;-;-;-;-;3;2;-;-;-;-;-;-;-;11
A22   Carbunculo;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
A27   Leptospirose;1;-;1;-;1;-;-;1;-;-;-;-;4;1;1;-;-;-;1;2;-;1;3;-;-;1;-;18
A30   Hanseniase;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
A31   Infecc dev outr micobacterias;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
A35   Outr tipos de tetano;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
A36   Difteria;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
